,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,דירוג,שם מדרג,תאריך רכישה,"מח""מ",סוג מטבע,שיעור ריבית,תשואה לפידיון,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,תאריך,שנים,,אחוזים,אחוזים,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפ הת ט- הפועלים הנפקות בע""מ",1940386,TASE,אחר,194,בנקים,AA+,מעלות,30/03/08,0.72,שקל חדש,4.70,0.00,"1,670,170.00",124.10,"2,072.68",1.17,0.14,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פועלים הנפ הת טו- הפועלים הנפקות בע""מ",1940543,TASE,אחר,194,בנקים,AA+,מעלות,19/06/12,4.66,שקל חדש,4.20,0.01,"3,860,155.00",121.00,"4,670.79",0.39,0.32,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בזק אגח 6- בזק החברה הישראלית לתקשורת בע""מ",2300143,TASE,אחר,230,תקשורת ומדיה,AA,מעלות,28/11/13,3.46,שקל חדש,3.70,0.01,"12,538,956.00",113.69,"14,255.54",0.44,0.98,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינל הנפק התח כא- הבינלאומי הראשון הנפקות בע""מ",1126598,TASE,אחר,1153,בנקים,AA,מעלות,24/12/12,2.20,שקל חדש,2.80,0.01,"3,805,697.00",107.46,"4,089.60",0.39,0.28,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינל הנפק כ. נדח התח ה- הבינלאומי הראשון הנפקות בע""מ",1105576,TASE,אחר,1153,בנקים,AA,מעלות,25/11/08,0.20,שקל חדש,3.85,0.00,"16,242.00",121.03,19.66,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"בינלאומי הנפקות כ נדחה- הבינלאומי הראשון הנפקות בע""מ",1121953,TASE,אחר,1153,בנקים,AA,מעלות,29/12/10,2.29,שקל חדש,3.10,0.01,"2,161,801.60",111.06,"2,400.90",0.31,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דסקונט מנפיקים הת א- דיסקונט מנפיקים בע""מ",7480015,TASE,אחר,748,בנקים,AA,מעלות,11/08/08,1.00,שקל חדש,5.50,0.01,"49,292.00",129.05,63.61,0.06,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"דסקונט מנפיקים הת ב- דיסקונט מנפיקים בע""מ",7480023,TASE,אחר,748,השקעות ואחזקות,AA,מעלות,15/07/08,1.63,שקל חדש,5.25,0.01,"1,141,236.75",133.01,"1,517.96",0.32,0.10,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"וילאר אגח ד- וילאר אינטרנשיונל בע""מ",4160099,TASE,אחר,416,"נדל""ן ובינוי",AA,מעלות,16/12/08,0.75,שקל חדש,4.00,0.01,"2,064,972.91",123.01,"2,540.12",8.26,0.17,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"וילאר אגח ו- וילאר אינטרנשיונל בע""מ",4160115,TASE,אחר,416,"נדל""ן ובינוי",AA,מעלות,17/03/10,2.82,שקל חדש,3.64,0.97,"9,336,050.81",116.05,"10,834.49",8.47,0.74,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
