,תאריך הדיווח,30/03/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,303יל השתלמות כללי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001038-1162-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אירפורט סיטי- איירפורט סיטי בע""מ",1095835,TASE,אחר,1300,"נדל""ן ובינוי",שקל חדש,"7,770.00","4,661.00",362.16,0.01,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלוני חץ- אלוני-חץ נכסים והשקעות בע""מ",390013,TASE,אחר,390,"נדל""ן ובינוי",שקל חדש,"1,338,720.00","3,412.00","45,677.13",0.86,2.32,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אמות- אמות השקעות בע""מ",1097278,TASE,אחר,1328,"נדל""ן ובינוי",שקל חדש,"677,535.00","1,749.00","11,850.09",0.22,0.60,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ביג- ביג מרכזי קניות (2004) בע""מ",1097260,TASE,אחר,1327,"נדל""ן ובינוי",שקל חדש,"28,126.00","25,600.00","7,200.26",0.21,0.37,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"גזית גלוב- גזית-גלוב בע""מ",126011,TASE,אחר,126,"נדל""ן ובינוי",שקל חדש,"1,239,237.00","3,725.00","46,161.58",0.63,2.35,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מליסרון- מליסרון בע""מ",323014,TASE,אחר,323,"נדל""ן ובינוי",שקל חדש,"199,039.00","20,150.00","40,106.36",0.45,2.04,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"עזריאלי קבוצה- קבוצת עזריאלי בע""מ (לשעבר קנית מימון)",1119478,TASE,אחר,1420,"נדל""ן ובינוי",שקל חדש,"113,704.00","19,220.00","21,853.91",0.09,1.11,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אורמת טכנולוגיות- אורמת טכנולגיות אינק דואלי,1134402,TASE,אחר,2250,קלינטק,שקל חדש,"11,291.00","20,560.00","2,321.43",0.02,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"נייס- נייס מערכות בע""מ",273011,TASE,אחר,273,תוכנה ואינטרנט,שקל חדש,"85,487.00","24,340.00","20,807.54",0.14,1.06,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פרטנר- חברת פרטנר תקשורת בע""מ",1083484,TASE,אחר,2095,תקשורת ומדיה,שקל חדש,"13,483.00","1,905.00",256.85,0.01,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
