,תאריך הדיווח,29/09/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,החברה המדווחת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם מסלול/קרן/קופה,1039ילין לפידות גמל בני 60 ומעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מספר מסלול/קרן/קופה,9941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,קוד קופת הגמל,513611509-00000000001035-9941-000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.ב. ניירות ערך סחירים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4. מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,שם המנפיק/שם נייר ערך ,"מספר ני""ע",זירת מסחר,ספק מידע,מספר מנפיק,ענף מסחר,סוג מטבע,ערך נקוב,שער,שווי שוק,שעור מערך נקוב מונפק,שעור מנכסי אפיק ההשקעה,שעור מסך נכסי השקעה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,אגורות,אלפי ₪,אחוזים,אחוזים,אחוזים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סה""כ תל אביב 75",,,,,,,"200,827.00",,"4,715.62",,32.72,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מיטרוניקס- מיטרוניקס בע""מ",1091065,TASE,אחר,1212,אלקטרוניקה ואופטיקה,שקל חדש,"4,052.00","1,316.00",53.32,0.00,0.37,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אבוג'ן- אבוג'ן בע""מ",1105055,TASE,אחר,1461,ביוטכנולוגיה,שקל חדש,"1,231.00","2,349.00",28.92,0.00,0.20,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"הראל השקעות- הראל השקעות בביטוח ושרותים פיננסים בע""מ",585018,TASE,אחר,585,ביטוח,שקל חדש,155.00,"1,355.00",2.10,0.00,0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"כלל עסקי ביטוח- כלל החזקות עסקי ביטוח בע""מ",224014,TASE,אחר,224,ביטוח,שקל חדש,250.00,"4,036.00",10.09,0.00,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מגדל ביטוח- מגדל אחזקות ביטוח ופיננסים בע""מ",1081165,TASE,אחר,1041,ביטוח,שקל חדש,"69,830.00",243.90,170.32,0.01,1.18,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"מנורה מבטחים החזקות- מנורה מבטחים החזקות בע""מ",566018,TASE,אחר,566,ביטוח,שקל חדש,"3,877.00","3,088.00",119.72,0.01,0.83,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אגוד- בנק אגוד לישראל בע""מ",722314,TASE,אחר,722,בנקים,שקל חדש,"23,479.00","1,271.00",298.42,0.03,2.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"פיבי- פ.י.ב.י. אחזקות בע""מ",763011,TASE,אחר,763,בנקים,שקל חדש,"6,287.00","5,845.00",367.48,0.02,2.55,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"אלקו החזקות- אלקו בע""מ",694034,TASE,אחר,694,השקעות ואחזקות,שקל חדש,"4,729.00","4,987.00",235.84,0.02,1.64,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
